"AGE","SEX","COUNT"
15,"F",1
16,"F",1
18,"F",1
24,"F",4
25,"F",2
29,"F",2
30,"F",1
31,"F",3
32,"F",4
33,"F",1
34,"F",4
35,"F",2
36,"F",4
37,"F",4
38,"F",5
39,"F",4
40,"F",5
41,"F",9
42,"F",9
43,"F",5
44,"F",5
45,"F",9
46,"F",6
47,"F",4
48,"F",7
49,"F",7
50,"F",6
51,"F",9
52,"F",4
53,"F",9
54,"F",7
55,"F",6
56,"F",8
57,"F",12
58,"F",10
59,"F",15
60,"F",13
61,"F",12
62,"F",10
63,"F",10
64,"F",7
65,"F",11
66,"F",7
67,"F",7
68,"F",13
69,"F",11
70,"F",2
71,"F",11
72,"F",6
73,"F",7
74,"F",3
75,"F",6
76,"F",4
77,"F",5
78,"F",3
79,"F",3
80,"F",1
82,"F",1
83,"F",4
84,"F",2
92,"F",1
18,"M",1
19,"M",2
20,"M",1
22,"M",3
23,"M",1
25,"M",1
26,"M",2
27,"M",2
28,"M",2
30,"M",3
31,"M",2
32,"M",1
33,"M",2
34,"M",9
35,"M",3
36,"M",4
37,"M",1
38,"M",5
39,"M",5
40,"M",2
41,"M",6
42,"M",5
43,"M",2
44,"M",1
45,"M",10
46,"M",7
47,"M",8
48,"M",13
49,"M",15
50,"M",13
51,"M",15
52,"M",11
53,"M",17
54,"M",21
55,"M",18
56,"M",16
57,"M",8
58,"M",14
59,"M",11
60,"M",15
61,"M",27
62,"M",19
63,"M",14
64,"M",20
65,"M",22
66,"M",20
67,"M",19
68,"M",15
69,"M",21
70,"M",16
71,"M",11
72,"M",15
73,"M",22
74,"M",12
75,"M",15
76,"M",13
77,"M",9
78,"M",6
79,"M",8
80,"M",7
81,"M",1
82,"M",8
83,"M",7
84,"M",1
85,"M",3
86,"M",5
87,"M",4
88,"M",3
90,"M",2
91,"M",1
92,"M",2
94,"M",1
95,"M",1
99,"M",1
102,"M",1
